DENOMINACIÓN ;Año 2008;Año 2009;Año 2010;Año 2011;Año 2012;Año 2013;Año 2014;Año 2015;Año 2016
TOTAL ;192.543.448;195.722.104;238.934.920;373.507.907;489.076.609;722.892.331;1.141.202.721;1.539.975.844;1.548.574.181.316
Gastos Corrientes ;140.738.939;146.914.894;188.809.817;282.456.172;397.392.113;584.829.682;925.173.745;1.210.269.481;1.256.028.379.694
Gastos de Consumo ;43.824.947;49.692.214;60.416.783;84.191.711;125.416.238;185.846.903;262.186.836;306.621.884;311.810.066.845
Remuneraciones ;34.812.925;41.813.018;52.426.821;71.200.332;97.812.836;141.897.178;216.292.281;257.723.711;226.990.013.424
Compra de Bienes y Servicios ;8.477.983;7.260.407;7.049.948;11.843.690;26.157.976;41.973.318;42.709.113;40.380.371;70.065.422.715
Impuestos Indirectos ;444.697;427.474;517.975;693.185;1.033.636;1.436.743;2.673.754;5.627.030;7.429.120.409
Descuentos, Bonificaciones y Devoluciones ;89.342;191.315;422.039;454.504;411.790;539.664;511.688;2.890.772;7.325.510.297
Gastos de la Propiedad ;8.913.547;10.591.922;14.400.066;28.382.200;43.101.344;68.050.767;94.632.518;133.223.769;242.606.834.505
Intereses ;8.908.637;10.590.291;14.398.613;28.380.741;43.097.618;68.048.660;94.622.001;133.142.499;242.503.765.492
Alquileres de Tierras y Terrenos ;1;5;6;30;31;9;2;25.593;844.395
Derechos Sobre Bienes Intangibles ;4.909;1.626;1.447;1.429;3.695;2.098;10.515;55.677;102.224.618
Transferencias y Donaciones Corrientes ;87.978.668;86.629.711;113.990.397;169.880.969;228.872.201;330.929.128;568.342.402;770.184.145;673.123.737.135
Al Sector Privado ;7.708.255;9.068.615;11.769.468;17.539.878;21.163.934;27.015.051;44.516.145;55.430.570;52.363.870.527
Al Sector Pub ;80.174.453;77.489.259;102.120.131;152.206.749;207.642.244;303.843.741;523.792.914;714.718.640;620.539.754.092
Al Sector Externo ;95.960;71.837;100.798;134.342;66.023;70.336;33.343;34.935;220.112.516
Rectificaciones al Presupuesto ;898;  -    ;256;;29;2.650;10.477;232.413;28.482.500.150
Otros Gastos Corrientes ;20.879;1.047;2.315;1.292;2.301;234;1.512;7.270;5.241.059
Gastos de Capital e Inversiones Financieras ;43.899.129;43.188.601;48.361.746;87.665.976;77.986.655;124.086.416;186.116.902;307.138.274;289.595.634.563
Inversión Directa ;2.178.753;692.760;1.148.487;3.109.215;2.733.673;4.375.187;11.737.433;21.232.910;10.728.357.920
Formación Bruta de Capital Fijo ;2.124.445;680.228;1.140.071;3.055.933;2.676.002;4.319.258;11.586.833;21.107.524;10.563.350.278
Tierras, Terrenos y Otros Activos ;6.169;2.251;;;21.528;135;13.393;50.000;44.800.000
Bienes Intangibles ;48.139;10.281;8.416;53.282;36.143;55.794;137.207;75.386;120.207.642
Transferencias y Donaciones de Capital ;40.108.532;39.282.744;45.530.679;84.299.763;74.927.908;118.728.355;171.352.684;279.427.256;277.416.513.536
Al Sector Privado2 ;126.607;77.701;81.467;110.489;14.292;181;32.143;854;  
Al Sector Pub2 ;39.981.925;39.205.043;45.448.692;84.188.963;74.913.563;118.728.174;171.320.541;279.426.402;277.416.513.536
Al Sector Externo2 ;  -    ;  -    ;520;311;53;;;;
Inversión Financiera ;1.611.844;3.213.097;1.682.580;256.998;325.074;982.874;3.026.785;6.478.108;1.450.763.107
Aportes en Acciones y Participación de Capital ;1.611.844;3.213.097;1.682.580;256.998;325.074;982.874;3.026.785;6.304.070;787.763.107
Concesión de Préstamos ;  -    ;  -    ;  -    ;;;;;174.038;663.000.000
Aplicaciones Financieras ;7.905.380;5.618.609;1.763.357;3.385.759;13.697.841;13.976.233;29.912.074;22.568.089;2.950.167.059
Amortización de Deuda Pública ;7.028.565;5.087.933;1.450.126;1.312.267;10.322.032;7.837.222;24.301.052;12.331.164;  
Servicio de la Deuda Pública por Obligaciones de Ejercicios Anteriores ;328.662;  -    ;687;1.148;2.536;101.768;99.956;10.294;
Disminución de Otros Pasivos Financieros ;548.153;530.676;312.544;2.072.344;3.373.273;6.037.243;5.511.066;10.226.631;2.950.167.059
Gasto Corriente/Ppto Total;73%;75%;79%;76%;81%;81%;81%;79%;81%
