;Estados;;;Municipios;;
Año;Ingresos propios;Ingresos totales;Proporcion_edos;Ingresos propios;Ingresos totales;Proporcion_mun
2004;146.196;10.427.505;1,40%;3.730.822;6.327.111;58,97%
2005;116.624;16.198.927;0,72%;4.979.846;8.964.436;55,55%
2006;796.107;26.682.153;2,98%;7.588.718;14.494.791;52,35%
2007;826.590;28.602.581;2,89%;10.027.853;17.645.666;56,83%
2008;1.359.550;32.633.293;4,17%;11.303.313;19.766.753;57,18%
2009;2.123.670;36.093.966;5,88%;14.177.401;23.227.442;61,04%
2010;1.306.385;40.202.951;3,25%;13.916.811;24.585.046;56,61%
2011;2.076.977;54.173.326;3,83%;15.807.338;29.034.942;54,44%
2012;2.170.658;66.070.893;3,29%;20.616.136;36.387.106;56,66%
2013;2.552.316;98.801.000;2,58%;26.502.489;47.041.625;56,34%
2014;3.504.492;147.114.861;2,38%;39.733.535;73.299.104;54,21%
2015;3.707.309;193.587.476;1,92%;57.981.080;107.566.787;53,90%
