month;year;milestone;status
6;1818;C. Orinoco;Cerrada
6;1827;UCV;Renovada
1;1832;ULA;Renovada
7;1833;Bib. Nacional;Existente
5;1836;AGN;Existente
1;1866;T. Puerto Cabello;Existente
10;1872;Gaceta Oficial;Existente
10;1875;M.de B. Artes y Cs. Nat.;Existente
7;1877;T. Baralt en Maracaibo;Existente
1;1886;T. Mun. de Caracas;Existente
1;1887;Acad. Nac. de B. Artes;Existente
5;1891;LUZ;Renovada
11;1892;UC;Renovada
10;1894;T. Valencia;Existente
6;1905;T. Nacional;Existente
6;1917;Protección Patrimonial M.I.;Cerrada
6;1930;Orquesta Sinfónica;Existente
7;1936;RNV;Existente
6;1936;Dir.de Cultura y B. Artes M.E.;Cerrada
6;1940;Dir. Cultura y Bien. Soc. M.T.;Cerrada
6;1947;Esc. Nac. de Ballet;Cerrada
11;1952;Televisora Nacional;Cerrada
3;1960;INCIBA;Cerrada
8;1964;VTV;Existente
5;1966;Cinemateca;Renovada
4;1967;CENAL;Existente
4;1968;M. Ávila;Existente
6;1971;Cons.  J J. Landaeta;Existente
11;1973;C. Bello;Existente
6;1973;TTC;Existente
9;1974;Bib. Ayacucho;Existente
7;1974;Celarg;Existente
3;1974;Poliedro;Existente
6;1975;Cons. S. Bolívar;Existente
8;1975;Conac;Existente
2;1975;FMSB;Existente
4;1976;GAN;Existente
12;1982;Librerías del Sur;Existente
5;1984;CNT;Existente
3;1987;Casa del Artista;Existente
7;1987;CNM;Existente
9;1990;CDC;Existente
9;1993;IPC;Existente
9;1993;CENAC;Existente
12;2001;CENAF;Existente
12;2004;Red Intelec. y Art.;Existente
4;2005;Museos Nac.;Existente
7;2005;IARTES;Existente
2;2005;M. Cultura;Existente
5;2006;Red de Arte;Existente
7;2006;IAEM;Existente
12;2006;FIC;Existente
2;2006;Villa del Cine;Existente
2;2006;FDVC;Existente
12;2006;CENDIS;Existente
2;2006;CND;Existente
2;2006;Amazonia Films;Existente
2;2006;El Perro y La Rana;Existente
10;2007;CNH;Existente
10;2008;MPPC;Existente
5;2008;UNEARTE;Existente
1;2008;Alba Ciudad;Existente
8;2009;C. Orinoco;Nueva Etapa
5;2013;CEAM;Existente
10;2013;Mov. C. Rengifo;Existente
8;2016;C. Llanero;Existente
4;2017;C.Urbano;Existente
2;2017;C. Salsero;Existente
12;2019;La Casona Cultural Aquiles Nazoa;Existente
