Denominación;Sigla;Fuente;Página;Observación;Date;Year;Month
Correo del Orinoco;C. Orinoco;@Orinoco1818;;;27/06/1818;1818;06
Universidad Central de Venezuela;UCV;@UCV1827;;;24/06/1827;1827;06
Universidad de Los Andes;ULA;@LOPEZBOHORQUEZ2009;;;14/01/1832;1832;01
Biblioteca Nacional;Bib. Nacional;@himiob2008historia;;;13/07/1833;1833;07
Archivo General de la Nación;AGN;@AGV1836;;;24/05/1836;1836;05
Gaceta Oficial;Gaceta Oficial;@Gaceta1872;;;11/10/1872;1872;10
Museo de Bellas Artes y Ciencias Naturales;M.de B. Artes y Cs. Nat.;@MuseoNac1875;;;28/10/1875;1875;10
Teatro Municipal de Caracas;T. Mun. de Caracas;@Tmunicipal1881;;;1/01/1886;1886;01
Teatro Baralt en Maracaibo;T. Baralt en Maracaibo;@TBaralt1877;;;28/07/1877;1877;07
Teatro Puerto Cabello;T. Puerto Cabello;@TPtoCabello1886;;;01/01/1866;1866;01
Academia Nacional de Bellas Artes;Acad. Nac. de B. Artes;@abarca2018academia;;;16/019/887;/887;01
La Universidad del Zulia;LUZ;@LOPEZBOHORQUEZ2009;;;29/05/1891;1891;05
Teatro Valencia;T. Valencia;@TValencia1894;;;31/10/1894;1894;10
Teatro Nacional;T. Nacional;@TNacional905;;;11/06/1905;1905;06
Protección Patrimonial, Ministerio del Interior;Protección Patrimonial M.I.;@pacheco2018proteccion;;Solo año;30/06/1917;1917;06
Orquesta Sinfónica;Orquesta Sinfónica;@Orquesta1930;;;24/06/1930;1930;06
Radio Nacional de Venezuela;RNV;@RNV1936;;;29/07/1936;1936;07
Dirección de Cultura y Bellas Artes, Ministerio de Educación;Dir.de Cultura y B. Artes M.E.;@massiani1977consejo;35;Solo año;30/06/1936;1936;06
Dirección de Culutra y Bienestar Social, Ministerio del Trabajo;Dir. Cultura y Bien. Soc. M.T.;@massiani1977consejo;35;Solo año;30/06/1940;1940;06
Escuela Nacional de Ballet;Esc. Nac. de Ballet;@Ballet1947;;Solo año;30/06/1947;1947;06
Televisora Nacional;Televisora Nacional;@mosquera2010television;49;;22/11/1952;1952;11
Instituto Nacional de Cultura y Bellas Artes;INCIBA;@massiani1977consejo;35;;09/03/1060;1060;03
Cinemateca Nacional;Cinemateca;@abreu2016cincuenta;175;;04/05/1966;1966;05
Monte Ávila;M. Ávila;@MemoriaMPPC2014;353;;08/04/1968;1968;04
Conservatorio Juan José Landaeta;Cons.  J J. Landaeta;@ConservJJL197;347;Solo año;30/06/1971;1971;06
Casa Bello;C. Bello;@MemoriaMPPC2014;121;;28/11/1973;1973;11
Galería de Arte Nacional;GAN;@GAN1976;;;06/04/1976;1976;04
Biblioteca Ayacucho;Bib. Ayacucho;@MemoriaMPPC2014;88;;10/09/1974;1974;09
Centro de Estudos Latinoamericanos Rómulo Gallegos;Celarg;@MemoriaMPPC2014;130;;30/07/1974;1974;07
Conservatorio Simón Bolívar;Cons. S. Bolívar;@ConservaSB1975;;Solo año;30/06/1975;1975;06
Consejo Nacional de Cultura;Conac;@massiani1977consejo;36;;29/08/1975;1975;08
Venezolana de Televisión;VTV;@VTV1964;;;01/08/1964;1964;08
Teatro Teresa Carreño;TTC;@MemoriaMPPC2014;397;;11/06/1973;1973;06
Fundación Musical Simón Bolívar;FMSB;@FundacionSB1975;;;12/02/1975;1975;02
Liberarías del Sur;Librerías del Sur;@MemoriaMPPC2014;230;;30/12/1982;1982;12
Compañía Nacional de Teatro;CNT;@MemoriaMPPC2014;74;;22/05/1984;1984;05
Casa del Artista;Casa del Artista;@MemoriaMPPC2014;110;;25/03/1987;1987;03
Compañía Nacional de Música;CNM;@MemoriaMPPC2014;187;;27/07/1987;1987;07
Centro de la Diversidad Cultural;CDC;@MemoriaMPPC2014;141;;13/09/1990;1990;09
Instituto del Patrimonio Cultural;IPC;@MemoriaMPPC2014;343;;03/09/1993;1993;09
Centro Nacional Autonomo de Cinematografia;CENAC;@MemoriaMPPC2014;38;;08/09/1993;1993;09
Centro Nacional de Fotografía;CENAF;@MemoriaMPPC2014;161;;20/12/2001;2001;12
Centro Nacional del Libro;CENAL;@MemoriaMPPC2014;50;;21/04/1967;1967;04
Museos Nacionales;Museos Nac.;@MemoriaMPPC2014;258;;12/04/2005;2005;04
Red de Arte;Red de Arte;@MemoriaMPPC2014;281;;08/05/2006;2006;05
Instituto de las Artes de la Imagen y el Espacio ;IARTES;@MemoriaMPPC2014;328;;08/07/2005;2005;07
Instituto de las Artes Escenicas y Musicales;IAEM;@MemoriaMPPC2014;336;;08/07/2006;2006;07
Ministerio del Poder Popular para la Cultura;MPPC;@MemoriaMPPC2014;3;;14/10/2008;2008;10
Ministerio de Cultura;M. Cultura;@MemoriaMPPC2014;3;;09/02/2005;2005;02
Fundación Imprenta de la Cultura;FIC;@MemoriaMPPC2014;221;;18/12/2006;2006;12
Fundación Villa del Cine;Villa del Cine;@VillaCine2006;;;06/02/2006;2006;02
Fundación Distribuidora Venezolana de la Cultura;FDVC;@MemoriaMPPC2014;199;;06/02/2006;2006;02
Centro Nacional del Disco;CENDIS;@MemoriaMPPC2014;170;;18/12/2006;2006;12
Compañía Nacional de Danza;CND;@MemoriaMPPC2014;179;;06/02/2006;2006;02
Amazonia Films;Amazonia Films;@Amazonia2006;;;06/02/2006;2006;02
