month;year;milestone;status;
6;1818;C. Orinoco, 1818;Cerrada;
6;1827;UCV, 1827;Existente;
1;1832;ULA, 1832;Existente;
7;1833;Bib. Nacional, 1833;Existente;
1;1836;AGN, 1836;Existente;
10;1872;Gaceta Oficial, 1872;Existente;
2;1875;M.de B. Artes y Cs. Nat., 1875;Existente;
4;1881;T. Mun. de Caracas, 1881;Existente;
7;1883;T. Baralt en Maracaibo, 1883;Existente;
1;1886;T. Puerto Cabello, 1886;Existente;
10;1887;Acad. Nac. de B. Artes, 1887;Existente;
10;1894;T. Valencia, 1894;Existente;
6;1905;T. Nacional, 1905;Existente;
4;1917;Protección Patrimonial M.I., 1917;Cerrada;
6;1930;Orquesta Sinfónica, 1930;Existente;
7;1936;RNV, 1936;Existente;
6;1936;Dir.de Cultura y B. Artes M.E., 1936;Cerrada;
6;1940;Dir. Cultura y Bien. Soc. M.T., 1940;Cerrada;
6;1948;Esc. Nac. de Ballet, 1948;Cerrada;
11;1952;Televisora Nacional, 1952;Existente;
4;1960;INCIBA, 1960;Cerrada;
5;1966;Cinemateca, 1966;Renovada;
4;1968;M. Ávila, 1968;Existente;
7;1971;Cons.  J J. Landaeta, 1971;Existente;
11;1973;C. Bello, 1973;Existente;
10;1974;GAN, 1974;Existente;
9;1974;Bib. Ayacucho, 1974;Existente;
7;1974;Celarg, 1974;Existente;
6;1975;Cons. S. Bolívar, 1975;Existente;
8;1975;Conac, 1975;Existente;
4;1976;VTV, 1976;Existente;
2;1976;TTC, 1976;Existente;
2;1978;FMSB, 1978;Existente;
12;1982;Librerías del Sur, 1982;Existente;
5;1984;CNT, 1984;Existente;
3;1987;Casa del Artista, 1987;Existente;
5;1987;CNM, 1987;Existente;
9;1990;CDC, 1990;Existente;
9;1993;IPC, 1993;Existente;
9;1993;CENAC, 1993;Existente;
12;1996;CENAF, 1996;Existente;
4;1997;CENAL, 1997;Existente;
4;2005;Museos Nac., 2005;Existente;
5;2005; Red de Arte, 2005;Existente;
7;2005;IARTES, 2005;Existente;
7;2005;IAEM, 2005;Existente;
2;2005;MPPC, 2005;Existente;
3;2006;M. Cultura, 2006;Existente;
12;2006;FIC, 2006;Existente;
6;2006;Villa del Cine, 2006;Existente;
2;2006;FDVC, 2006;Existente;
12;2006;CENDIS, 2006;Existente;
2;2006;CND, 2006;Existente;
2;2006;Amazonia Films, 2006;Existente;
2;2006;El Perro y La Rana, 2006;Existente;
10;2007;CNH, 2007;Existente;
5;2008;UNEARTE, 2008;Existente;
1;2008;Alba Ciudad, 2008;Existente;
8;2009;C. Orinoco, 2009;Nueva Etapa;
5;2013;CEAM, 2013;Existente;
9;2013;Mov. C. Rengifo, 2013;Existente;
8;2016;C. Llanero, 2016;Existente;
4;2017;C.Urbano, 2017;Existente;
2;2017;C. Salsero, 2017;Existente;
