month;year;milestone;status
06;1818;C. Orinoco;Cerrada
06;1827;UCV;Renovada
01;1832;ULA;Renovada
07;1833;Bib. Nacional;Existente
05;1836;AGN;Existente
10;1872;Gaceta Oficial;Existente
10;1875;M.de B. Artes y Cs. Nat.;Existente
01;1886;T. Mun. de Caracas;Existente
07;1877;T. Baralt en Maracaibo;Existente
01;1866;T. Puerto Cabello;Existente
01;/887;Acad. Nac. de B. Artes;Existente
05;1891;LUZ;Renovada
10;1894;T. Valencia;Existente
06;1905;T. Nacional;Existente
06;1917;Protección Patrimonial M.I.;Cerrada
06;1930;Orquesta Sinfónica;Existente
07;1936;RNV;Existente
06;1936;Dir.de Cultura y B. Artes M.E.;Cerrada
06;1940;Dir. Cultura y Bien. Soc. M.T.;Cerrada
06;1947;Esc. Nac. de Ballet;Cerrada
11;1952;Televisora Nacional;Cerrada
03;1060;INCIBA;Cerrada
05;1966;Cinemateca;Renovada
04;1968;M. Ávila;Existente
06;1971;Cons.  J J. Landaeta;Existente
11;1973;C. Bello;Existente
04;1976;GAN;Existente
09;1974;Bib. Ayacucho;Existente
07;1974;Celarg;Existente
06;1975;Cons. S. Bolívar;Existente
08;1975;Conac;Existente
08;1964;VTV;Existente
06;1973;TTC;Existente
02;1975;FMSB;Existente
12;1982;Librerías del Sur;Existente
05;1984;CNT;Existente
03;1987;Casa del Artista;Existente
07;1987;CNM;Existente
09;1990;CDC;Existente
09;1993;IPC;Existente
09;1993;CENAC;Existente
12;2001;CENAF;Existente
04;1967;CENAL;Existente
04;2005;Museos Nac.;Existente
05;2006;Red de Arte;Existente
07;2005;IARTES;Existente
07;2006;IAEM;Existente
10;2008;MPPC;Existente
02;2005;M. Cultura;Existente
12;2006;FIC;Existente
02;2006;Villa del Cine;Existente
02;2006;FDVC;Existente
12;2006;CENDIS;Existente
02;2006;CND;Existente
02;2006;Amazonia Films;Existente
02;2006;El Perro y La Rana;Existente
10;2007;CNH;Existente
05;2008;UNEARTE;Existente
01;2008;Alba Ciudad;Existente
08;2009;C. Orinoco;Nueva Etapa
05;2013;CEAM;Existente
10;2013;Mov. C. Rengifo;Existente
08;2016;C. Llanero;Existente
04;2017;C.Urbano;Existente
02;2017;C. Salsero;Existente
03;1974;Poliedro;Existente
