month;year;milestone;status
10;1887;Academia Nacional de Bellas Artes;Existente
1;2008;Alba Ciudad 96.3 FM;Existente
1;1836;Archivo General de la Nación ;Existente
7;1833;Biblioteca Nacional;Existente
9;1993;Centro Nacional Autónomo de Cinematografía;Existente
4;1997;Centro Nacional del Libro;Existente
5;1966;Cinemateca Nacional de Venezuela;Renovada
5;1984;Compañía Nacional de Teatro;Existente
5;2013;Complejo Editorial Alfredo Maneiro;Existente
8;1975;Consejo Nacional de la Cultura (CONAC);Existente
6;1975;Conservatorio de Música Simón Bolívar;Existente
7;1971;Conservatorio Nacional de Música Juan José Landaeta;Existente
6;1818;Correo del Orinoco;Cerrada
8;2009;Correo del Orinoco;Nueva Etapa
6;1936;Dirección de Cultura y Bellas Artes del Ministerio de Educación;Cerrada
6;1940;Dirección de Cultura y Bienestar Social del Ministerio del Trabajo;Cerrada
6;1948;Escuela Nacional de Ballet;Cerrada
9;1974;Fundación Biblioteca Ayacucho;Existente
3;1987;Fundación Casa del Artista;Existente
11;1973;Fundación Casa Nacional de las Letras Andrés Bello;Existente
7;1974;Fundación Centro de Estudios Latinoamericanos Rómulo Gallegos;Existente
9;1990;Fundación Centro de la Diversidad Cultural ;Existente
10;2007;Fundación Centro Nacional de Historia;Existente
12;1996;Fundación Centro Nacional de la Fotografía;Existente
12;2006;Fundación Centro Nacional del Disco (CENDIS);Existente
2;2006;Fundación Compañía Nacional de Danza;Existente
5;1987;Fundación Compañía Nacional de Música;Existente
2;2006;Fundación Distribuidora Nacional de Cine Amazonia Films;Existente
2;2006;Fundación Distribuidora Venezolana de la Cultura;Existente
2;2006;Fundación Editorial El Perro y La Rana;Existente
12;2006;Fundación Imprenta de la Cultura;Existente
12;1982;Fundación Librerías del Sur;Existente
3;2006;Fundación Misión Cultura;Existente
4;2005;Fundación Museos Nacionales;Existente
2;1978;Fundación Musical Simón Bolívar;Existente
5;2005;Fundación Red de Arte;Existente
6;2006;Fundación Villa del Cine;Existente
10;1872;Gaceta Oficial;Existente
10;1974;Galería de Arte Nacional;Existente
7;2005;Instituto de las Artes de la Imagen y el Espacio;Existente
7;2005;Instituto de las Artes Escénicas y Musicales;Existente
9;1993;Instituto de Patrimonio Cultural;Existente
4;1960;Instituto Nacional de la Cultura y Bellas Artes o INCIBA;Cerrada
4;1968;Monte Ávila Editores;Existente
8;2016;Movimiento Corazón Llanero;Existente
2;2017;Movimiento Corazón Salsero;Existente
4;2017;Movimiento Corazón Urbano;Existente
9;2013;Movimiento Nacional de Teatro para Niñas, Niños y Jóvenes César Rengifo;Existente
2;2005;MPPC;Existente
2;1875;Museos de Bellas Artes y Ciencias Naturales;Existente
6;1930;Orquesta Sinfónica de Venezuela;Existente
4;1917;Protección patrimonial Ministerio del Interior;Cerrada
7;1936;Radio Nacional de Venezuela;Existente
7;1883;Teatro Baralt en Maracaibo;Existente
4;1881;Teatro Municipal de Caracas;Existente
6;1905;Teatro Nacional;Existente
1;1886;Teatro Puerto Cabello;Existente
2;1976;Teatro Teresa Carreño;Existente
10;1894;Teatro Valencia;Existente
11;1952;Televisora Nacional;Existente
5;2008;UNEARTE;Existente
6;1827;Universidad Central de Venezuela;Existente
1;1832;Universidad de los Andes;Existente
4;1976;Venezolana de Televisión;Existente
