month;year;milestone;status
7;1971;Conserv.  J. J. Landaeta;Existente
11;1973;Casa Andrés Bello;Existente
10;1974;GAN;Existente
9;1974;Bib. Ayacucho;Existente
7;1974;CELARG;Existente
6;1975;Conserv. Simón Bolívar;Existente
8;1975;CONAC;Existente
4;1976;VTV;Existente
2;1976;TTC;Existente
2;1978;FMSB;Existente
12;1982;Librerías del Sur;Existente
5;1984;CNT;Existente
3;1987;Casa del Artista;Existente
5;1987;CNM;Existente
9;1990;CDC;Existente
9;1993;IPC;Existente
9;1993;CENAC;Existente
12;1996;CENAF;Existente
4;1997;CENAL;Existente
4;2005;Museos Nacionales;Existente
5;2005; Red de Arte;Existente
7;2005;IARTES;Existente
7;2005;IAEM;Existente
2;2005;MPPC;Existente
3;2006;M. Cultura;Existente
12;2006;FIC;Existente
6;2006;Villa del Cine;Existente
2;2006;FDVC;Existente
12;2006;CENDIS;Existente
2;2006;CND;Existente
2;2006;Amazonia Films;Existente
2;2006;El Perro y La Rana;Existente
10;2007;CNH;Existente
5;2008;UNEARTE;Existente
1;2008;Alba Ciudad;Existente
8;2009;Correo del Orinoco;Nueva Etapa
5;2013;CEAM;Existente
9;2013;Mov. C. Rengifo;Existente
8;2016;C. Llanero;Existente
4;2017;C.Urbano;Existente
2;2017;C. Salsero;Existente
